id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q333692,Roy Hattersley,1973-05-04,1974-03-05,,Q333578,,
Q333578,"Norman St John-Stevas, Baron St John of Fawsley",1974-02-28,1978-11-06,Q333692,Q6767006,,
Q6767006,Mark Carlisle,1978-11-06,1979-05-04,Q333578,Q5585620,,
Q5585620,Gordon Oakes,1979-05-04,1979-07-14,Q6767006,Q317258,,
Q317258,Neil Kinnock,1979-07-14,1983-10-02,Q5585620,Q138192,,
Q138192,"Giles Radice, Baron Radice",1983-10-02,1987-07-13,Q317258,Q311278,,
Q311278,Jack Straw,1987-07-13,1992-07-18,Q138192,Q332843,,
Q332843,"Ann Taylor, Baroness Taylor of Bolton",1992-07-18,1994-10-20,Q311278,Q264196,,
Q264196,David Blunkett,1994-10-20,1995-10-19,Q332843,Q264196,,
Q264196,David Blunkett,1995-10-19,1997-05-02,Q264196,Q333058,,
Q333058,Gillian Shephard,1997-05-02,1997-06-11,Q264196,Q300349,,
Q300349,Stephen Dorrell,1997-06-11,1998-06-15,Q333058,Q266064,,
Q266064,David Willetts,1998-06-01,1999-06-15,Q300349,Q264766,,
Q264766,Theresa May,1999-06-15,2001-09-18,Q266064,Q391960,,
Q391960,Damian Green,2001-09-18,2003-11-11,Q264766,Q259961,,
Q259961,Tim Yeo,2003-11-11,2004-06-14,Q391960,Q5611004,,
Q5611004,Tim Collins (politician),2004-06-14,2005-05-06,Q259961,Q192,,
Q192,David Cameron,2005-05-06,2005-12-06,Q5611004,Q266064,,
Q266064,David Willetts,2005-12-06,2007-07-02,Q192,Q333937,,
Q333937,Michael Gove,2007-07-02,2010-05-11,Q266064,Q260464,,
Q260464,Ed Balls,2010-05-11,2010-10-08,Q333937,Q269909,,
Q269909,Andy Burnham,2010-10-08,2011-10-07,Q260464,Q272041,,
Q272041,Stephen Twigg,2011-10-07,2013-10-07,Q269909,Q691064,,
Q691064,Tristram Hunt,2013-10-07,2015-09-12,Q272041,Q6698469,,
Q6698469,Lucy Powell,2015-09-13,2016-06-26,Q691064,Q391442,,
Q391442,Pat Glass,2016-06-27,2016-06-29,Q6698469,Q18164278,,
Q18164278,Angela Rayner,2016-07-01,2020-04-05,Q391442,Q19979355,,
Q19979355,Rebecca Long-Bailey,2020-04-06,2020-06-25,Q18164278,Q391986,,
Q391986,Kate Green,2020-06-27,,Q19979355,,,
